Project_Name,Sample_Name,Sample_ID,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,"ul extracted DNA in PCR",Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,SummedReads
LISS,WH013M,WH013M,43.9,RID001390,LISSplate1,B01,1,1,B01,43.9,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA701,,0,yes,SID2413,15249
LISS,WH014M,WH014M,60,RID001390,LISSplate1,B02,1,1,F01,60,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA701,,0,yes,SID2413,12452
LISS,WH014M,WH014M,60,RID001390,LISSplate1,B02,1,1,F01,60,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA701,,0,yes,SID2419,12452
LISS,WH015M,WH015M,49.6,RID001390,LISSplate1,B03,1,1,B02,49.6,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA702,,0.06,yes,SID2413,32925
LISS,WH016M,WH016M,64.8,RID001390,LISSplate1,B04,1,1,F02,64.8,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA702,,0,yes,SID2413,10118
LISS,WH016M,WH016M,64.8,RID001409,LISSplate1,B04,6,1,B01,388.8,"GoTaq Polymerase",EMP.v4.SB502,EMP.v4.SB708,,0,yes,SID2421,10118
LISS,WH017M,WH017M,53.7,RID001390,LISSplate1,B05,1,1,B03,53.7,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA703,,0.23,yes,SID2413,81705
LISS,WH018M,WH018M,41.5,RID001390,LISSplate1,B06,1,1,F03,41.5,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA703,,0,yes,SID2413,34724
LISS,WH019M,WH019M,36.9,RID001390,LISSplate1,B07,1,1,A04,36.9,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA704,,0,yes,SID2413,5372
LISS,WH019M,WH019M,36.9,RID001390,LISSplate1,B07,1,1,A04,36.9,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA704,,0,yes,SID2419,5372
LISS,WH019M,WH019M,36.9,RID001409,LISSplate1,B07,6,1,C01,221.4,"GoTaq Polymerase",EMP.v4.SB503,EMP.v4.SB708,,0,yes,SID2421,5372
LISS,WH020M,WH020M,42.1,RID001390,LISSplate1,B08,1,1,D04,42.1,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA704,,0.41,yes,SID2413,76581
